partner_id,partner_name,classification,recommended_action,confidence,reasoning,escalate,data_issues_found
1001,Partner_1001,Improving,Monitor positively; offer targeted cross-sell (new products) to sustain momentum.,0.75,GTV grew 24% month-over-month.,False,
1002,Partner_1002,Active,No action needed; continue standard monitoring cadence.,0.7,GTV change of 12% is within normal stable range.,False,
1003,Partner_1003,Active,No action needed; continue standard monitoring cadence.,0.7,GTV change of -3% is within normal stable range.,False,
1004,Partner_1004,Declining,"Proactive retention call within 7 days; investigate cause (competitor, service issue, liquidity).",0.75,GTV declined -31% month-over-month.,False,
1005,Partner_1005,Inactive,Trigger reactivation outreach call; check for device/service blockers.,0.9,Zero active days or zero transactions in the last 30 days.,False,
1006,Partner_1006,High-Potential,Fast-track for higher transaction limits / incentive tier upgrade; assign relationship manager for growth support.,0.85,"GTV grew 80% month-over-month with strong activity (500.0 txns, 27.0 active days).",False,
1007,Partner_1007,Active,No action needed; continue standard monitoring cadence.,0.7,GTV change of -5% is within normal stable range.,False,
1008,Partner_1008,Active,No action needed; continue standard monitoring cadence.,0.7,GTV change of 17% is within normal stable range.,False,
1009,Partner_1009,Risky,Escalate to field quality team; review complaint tickets and device uptime before further incentive payout.,0.8,3 complaint(s) in 30 days and/or service uptime 88.0% below 80% threshold.,False,
1010,Partner_1010,Active,No action needed; continue standard monitoring cadence.,0.7,GTV change of 10% is within normal stable range.,False,
1011,Partner_1011,Improving,Monitor positively; offer targeted cross-sell (new products) to sustain momentum.,0.75,GTV grew 24% month-over-month.,False,
1012,Partner_1012,Active,No action needed; continue standard monitoring cadence.,0.7,GTV change of 12% is within normal stable range.,False,
1013,Partner_1013,Active,No action needed; continue standard monitoring cadence.,0.7,GTV change of -3% is within normal stable range.,False,
1014,Partner_1014,Declining,"Proactive retention call within 7 days; investigate cause (competitor, service issue, liquidity).",0.75,GTV declined -31% month-over-month.,False,
1015,Partner_1015,Inactive,Trigger reactivation outreach call; check for device/service blockers.,0.9,Zero active days or zero transactions in the last 30 days.,False,
1016,Partner_1016,High-Potential,Fast-track for higher transaction limits / incentive tier upgrade; assign relationship manager for growth support.,0.85,"GTV grew 80% month-over-month with strong activity (500.0 txns, 27.0 active days).",False,
1017,Partner_1017,Active,No action needed; continue standard monitoring cadence.,0.7,GTV change of -5% is within normal stable range.,False,
1018,Partner_1018,Active,No action needed; continue standard monitoring cadence.,0.7,GTV change of 17% is within normal stable range.,False,
1019,Partner_1019,Risky,Escalate to field quality team; review complaint tickets and device uptime before further incentive payout.,0.8,3 complaint(s) in 30 days and/or service uptime 88.0% below 80% threshold.,False,
1020,Partner_1020,Active,No action needed; continue standard monitoring cadence.,0.7,GTV change of 10% is within normal stable range.,False,
1021,Partner_MissingData,ESCALATE_DATA_ISSUE,Route to Data/Ops team for correction before any performance decision is made.,0.0,missing_field: 'txn_count_last_30' is missing; missing_field: 'txn_volume_gtv_last_30' is missing; missing_field: 'active_days_last_30' is missing,True,missing_field: 'txn_count_last_30' is missing; missing_field: 'txn_volume_gtv_last_30' is missing; missing_field: 'active_days_last_30' is missing
1022,Partner_BrokenTotals,ESCALATE_DATA_ISSUE,Route to Data/Ops team for correction before any performance decision is made.,0.0,"broken_total: declared_gtv (500000.0) vs computed_gtv (210000.0) differ by 58.0%, exceeds 2% tolerance",True,"broken_total: declared_gtv (500000.0) vs computed_gtv (210000.0) differ by 58.0%, exceeds 2% tolerance"
1023,Partner_NegativeVolume,ESCALATE_DATA_ISSUE,Route to Data/Ops team for correction before any performance decision is made.,0.0,invalid_value: 'txn_volume_gtv_last_30' is negative (-50000.0),True,invalid_value: 'txn_volume_gtv_last_30' is negative (-50000.0)
1024,Partner_KYCRejectedActive,ESCALATE_DATA_ISSUE,Route to Data/Ops team for correction before any performance decision is made.,0.0,compliance_risk: KYC status is 'Rejected' but partner has 350.0 transactions in the last 30 days,True,compliance_risk: KYC status is 'Rejected' but partner has 350.0 transactions in the last 30 days
1025,Partner_Dup,Active,No action needed; continue standard monitoring cadence.,0.7,GTV change of 9% is within normal stable range.,False,
1027,Partner_BadUptime,ESCALATE_DATA_ISSUE,Route to Data/Ops team for correction before any performance decision is made.,0.0,invalid_value: service_uptime_pct out of range (143.0),True,invalid_value: service_uptime_pct out of range (143.0)
1028,Partner_NewNoHistory,"Active (New, insufficient history)",Continue standard onboarding support; revisit trend classification after next cycle once a prior-period baseline exists.,0.5,"No prior-period transaction volume available (new partner) — growth rate is undefined, not assumed zero.",True,
